About how long have you been receiving information or resources from community veteran service providers?,Active military members/veterans can thrive in my community:To what extent do you disagree or agree with the following statements:,Approximately how much was your household annual income for the previous year?Â ,Approximately what is your credit score?,Are highly responsive:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,BMI,Community is involved with veterans?,Do you consider your current job a career?,FactorAnalysis0,FactorAnalysis0@FactorAnalysis0,FactorAnalysis1,FactorAnalysis1@FactorAnalysis0,FactorAnalysis1@FactorAnalysis14,FactorAnalysis1@FactorAnalysis4,FactorAnalysis3,FactorAnalysis3@FactorAnalysis1,Has Community Opportunities?,Has Dependable Support?,Has empowered me:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has helped me feel more fulfilled in my daily life:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has reliable transportation?,Have assisted me with filing healthcare/benefits claims:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected me to other veterans:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected my family/caregiver to other active military/veteran family members or their caregivers:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have improved my community's understanding of active military/veterans issues:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,How many are dependents?,How often do you participate in spiritual or religious practices? Â ,How would you rate your level of satisfaction with the education benefits and programs?: Rate the resources you may have received from VA or a community-based program:,I am able to adapt when changes occur:Please indicate how frequently you find each statement below to be truthful to you:,I have the resources I need for my care:To what extent do you disagree or agree with the following statements:,"I tend to bounce back after illness, injury, or other hardships:Please indicate how frequently you find each statement below to be truthful to you:",Number of Deployments:,Organizations in my community provide active military/veterans with the services they need:To what extent do you disagree or agree with the following statements:,"Overall, how satisfied are you withÂ your community's ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.",Owns a car?,Seeking Value,There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers:To what extent do you disagree or agree with the following statements:,There is a strong network of support for active military/veterans in my community:To what extent do you disagree or agree with the following statements:,Veteran serving organizations care deeply about my well being?,"You mentioned earlier you were seeking access to better employment or obtaining employment, how long have you been activelyÂ seekingÂ employment?",Hope Scale Score
1.0,2.0,5.0,1.0,2.0,15.0,True,1.0,-1.0393854717117406,1.0803221588054375,0.314994287223283,1.0512622634449482,-0.24874980530420762,0.052235747810345255,2.042446430630184,-0.1262885723947018,True,True,2.0,2.0,True,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,104.4,2.0,2.0,True,24.0,2.0,2.0,True,1.0,51.0
1.0,2.0,3.0,2.0,2.0,51.79305216625728,False,1.0,-0.962589139399131,0.9265778512891597,-0.3609487906842224,1.0363756667514155,-0.24923584447545763,0.1629525958663488,-1.6467442640730925,0.860667953245182,True,True,3.0,3.0,False,3.0,2.0,2.0,3.0,2.0,1.8,1.0,1.0,3.0,2.0,25.2,2.0,1.0,False,13.0,2.0,2.0,True,1.0,37.0
1.0,3.0,5.0,4.0,3.0,17.418835163570897,True,1.0,1.0988927489767113,1.2075652737535933,-1.7680490520854641,1.0226707096972123,0.02567915228897685,1.1669402773525441,-0.5734643133403675,0.8129933175445048,True,True,3.0,3.0,True,2.2,3.0,2.4,3.0,3.0,1.8,2.0,4.0,3.0,2.0,144.0,3.0,4.0,True,1.6,3.0,3.0,True,0.6,64.0
5.0,2.0,4.0,1.0,2.0,70.0,True,1.0,1.493567493472145,2.230743857556666,-0.3412002213675798,1.0366869348311423,-0.1835116912742308,0.5501619478046622,0.4796920904448962,0.7184693620854986,True,True,2.0,2.0,True,2.8,2.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,True,5.4,3.0,2.0,True,0.4,49.0
2.0,1.0,3.0,0.0,1.0,51.793431967364675,False,1.0,0.6292558481059425,0.39596292237552894,1.7447244465446077,1.3814788195285421,0.4121905512284397,0.12702443494570032,0.5239200251981757,0.7123637075093487,False,False,1.0,1.0,True,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,4.0,31.6,1.0,2.0,True,8.0,1.0,1.0,False,0.0,61.0
3.0,1.0,5.0,3.2,1.0,50.94975517198685,True,1.0,-0.5459156742958873,0.2980239234419333,1.2242355333143204,1.1140416140500136,-1.7812842027697566,0.8096888192982875,1.7955297939425419,0.23594623199757483,False,True,1.0,1.0,True,1.0,2.0,2.0,1.0,2.0,2.2,2.0,3.0,1.0,3.0,40.8,1.0,2.0,True,19.0,1.0,1.0,False,1.0,20.0
3.0,1.0,4.0,3.0,2.0,61.52710344573438,True,1.0,-0.08294561075852344,0.00687997434410448,0.5719461103372148,1.0607063551856302,-1.0986421026829807,-0.7959653744670946,-0.6746288011198934,0.8188361440708177,True,False,1.0,3.0,False,1.0,3.0,2.0,2.4,4.0,1.8,0.0,3.0,2.0,1.0,49.8,2.0,3.0,False,13.0,3.0,2.2,False,1.0,35.0
2.0,3.0,3.0,1.0,3.0,15.0,True,1.0,-1.364958464826256,1.8631116107008496,-0.16224115902785377,1.0397708817980682,0.11379263754482694,-0.10189093242172151,-0.04827698159514785,0.7753857861377286,True,True,2.0,3.0,False,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,121.0,3.0,4.0,False,23.0,2.0,3.0,True,1.0,49.0
0.0,2.0,3.0,1.8,2.0,51.4123749487609,False,1.0,-1.4029620317930154,1.9683024626527859,-0.10702451464590841,1.0408298666528282,-0.11462761840672864,0.09058538207115512,-0.47394073494288586,0.8068654509452771,True,True,1.0,3.0,False,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,105.0,3.0,3.0,False,18.0,2.0,2.0,True,0.0,44.0
1.0,3.0,5.0,4.0,3.0,27.07106559318859,True,1.0,0.5144557965850569,0.26466476663996547,-1.3522026892820518,1.0255112894732517,-1.1157409228807365,0.31568424592512073,0.17968137955349836,0.7539043711434226,True,True,3.0,2.0,True,3.0,2.0,3.0,2.0,4.0,1.6,1.0,4.0,3.0,3.0,240.8,3.0,4.0,True,7.6,2.0,3.0,True,0.6,60.0
2.0,2.0,3.0,2.0,3.0,58.27022070574607,True,1.0,-1.840823634966431,3.3886316550510243,0.21057705005121535,1.0482142165320911,-0.25631067385088124,0.04924517867367602,-0.5092165363552708,0.8090828710332737,False,False,2.4,2.0,False,3.0,3.0,2.0,2.0,3.0,2.4,1.0,4.0,3.0,2.0,243.6,3.0,2.0,False,24.0,2.0,2.0,True,1.0,40.0
1.0,1.0,2.0,2.6,2.0,57.70431190002115,False,1.0,-0.8940701335738553,0.7993614037487715,1.2059581445202905,1.111301583496189,0.6733007784579041,-0.6180734597019198,-0.8608895818241263,0.8286907660937464,True,True,2.0,2.0,False,1.0,2.0,2.0,2.0,2.0,2.6,0.0,3.0,1.0,2.0,101.8,2.0,2.0,False,16.0,2.0,1.0,False,1.0,43.0
5.0,1.8,2.0,2.2,2.0,70.0,True,1.0,1.7620788499149596,3.1049218733176267,0.3159789491975702,1.0512928420919476,0.08162922405467869,0.6861430178060696,-0.9553273909816536,0.8332886506917442,True,True,1.8,1.6,True,2.2,2.0,2.0,2.0,0.0,2.8,1.0,3.0,2.0,3.0,1.2,2.0,3.0,True,1.4,2.0,2.0,True,0.4,49.0
2.0,3.0,3.0,2.6,3.0,49.90218386504315,True,1.0,-1.1557870756867716,1.3358437643245793,-0.6065848395012939,1.0329033470774747,0.17458816436180347,-0.3926038637206351,-0.7945307952745374,0.8253052467922015,True,True,2.4,3.0,False,3.0,2.2,1.8,3.0,3.0,2.0,1.0,2.0,2.0,3.0,4.6,2.6,2.0,False,19.0,3.0,3.0,True,1.0,38.0
2.0,2.2,4.0,2.6,2.0,59.77979844666667,True,1.0,0.33907212648460994,0.11496990695879532,-0.24950958843221266,1.0382047915972221,-0.5137812226880456,-0.17641238538545576,0.19925506390843928,0.751866729990554,True,True,2.0,3.0,True,2.0,2.0,1.0,2.0,4.0,2.2,1.0,2.0,2.0,2.0,140.6,2.0,2.0,True,9.6,1.0,2.0,True,0.6,36.0
5.0,2.0,5.0,4.0,3.0,70.0,True,1.0,1.8468704151986177,3.4109303305359147,-0.3512167311209863,1.0365283962348542,0.26279998368901536,0.07609280552406597,0.13606409510281692,0.7583267638467915,True,True,2.0,2.0,True,2.2,3.0,2.4,3.0,1.0,4.0,1.0,3.0,3.0,4.0,6.0,3.0,3.0,True,4.6,2.0,3.0,True,0.6,61.0
4.0,3.0,5.0,2.2,3.0,36.22372354740874,True,1.0,-1.0539771413456582,1.1108678144791657,-0.6357878723358114,1.032534128310608,-0.48629386371815736,-0.1213489126944848,-1.3849566710819254,0.8514295086108202,True,True,3.0,2.0,False,2.4,2.4,3.0,3.0,3.0,1.8,1.0,3.0,2.2,2.0,119.8,3.0,3.0,False,16.0,2.4,3.0,True,0.0,47.0
1.0,3.0,4.0,1.8,2.0,51.86092673396756,True,1.0,-1.7438040274746016,3.0408524862366413,-1.0643397966132875,1.0279341603803818,-0.21305619433285625,0.33510766275324333,-0.15790921181151013,0.7844351820667683,True,True,3.0,3.0,False,3.0,3.0,3.0,3.0,3.0,1.6,1.0,3.0,3.0,3.0,81.4,3.0,3.0,False,21.0,2.0,3.0,True,0.0,49.0
4.0,1.0,2.8,2.0,1.0,66.64088246467588,False,1.0,-0.46630044094499107,0.2174361012254931,1.2559408075218597,1.1191289294667746,-1.5751741228759113,-1.6095645746312728,-0.8677960528870184,0.8290355991425354,True,False,1.0,2.0,False,1.0,2.0,2.0,1.0,2.0,2.2,0.0,2.0,1.0,1.0,1.0,2.0,1.0,False,11.0,2.0,1.0,False,0.0,28.0
5.0,2.0,3.8,0.0,2.0,70.0,True,1.0,-1.0028508695975724,1.0057098666526072,0.22245728159654665,1.0485426139508547,-0.0545384444566647,0.09955573669820515,-0.16563327433214123,0.7850453322782115,True,True,2.0,2.0,False,2.0,2.0,2.0,2.0,3.8,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,False,21.0,2.0,2.0,True,3.0,53.0
2.0,2.0,5.0,4.0,1.6,70.0,True,1.0,1.3452779249352478,1.8097726953180862,-0.21918014226746346,1.0387348958203932,-0.16994577418711165,-0.07070180164746384,-0.317698940595677,0.7963912767511837,True,True,2.0,1.4,True,2.2,2.6,2.0,2.6,1.0,3.0,1.2,3.0,2.0,3.0,111.4,2.0,2.6,True,2.0,2.0,2.0,True,1.0,48.0
5.0,3.0,5.0,4.0,1.0,70.0,True,1.0,1.3354628985433012,1.7834611533856757,0.4774333190043624,1.0568537008500904,-0.030652101880735035,0.2954303375650546,0.0758633041906325,0.764175813700491,True,True,1.0,1.0,True,1.0,1.0,2.0,2.0,1.0,1.8,1.2,3.0,2.0,2.0,5.0,2.0,2.0,True,3.8,2.4,3.0,False,0.8,48.0
4.0,3.0,4.0,3.0,2.0,49.54231321995614,True,1.0,0.04946850017326899,0.002447132509392714,-0.5888518859505287,1.033131665513194,-0.2560895140360072,-0.49318257210120064,0.6415656155047594,0.6947547143595628,True,True,2.0,3.0,True,3.0,2.0,2.0,3.0,3.0,2.2,2.0,4.0,2.0,4.0,102.8,2.0,3.0,True,12.0,2.0,2.0,True,1.0,54.0
1.4,2.6,5.0,4.0,2.0,70.0,True,1.0,0.6474181221253601,0.4191502248563277,-0.7070629858593728,1.031666849943052,-0.19323092028577465,0.43842722860689914,0.6474809075776065,0.6938122189630356,True,True,2.2,2.4,True,2.0,2.0,2.0,2.2,2.0,3.0,1.4,3.0,2.0,3.0,1.4,2.8,2.6,True,7.6,2.6,2.6,True,0.6,49.0
1.0,3.0,5.0,4.0,2.0,53.86516924605926,True,1.0,1.7174225293784513,2.9495401444166776,-0.8684697375070848,1.029864033218123,-0.39636365321931205,1.9302418246270103,0.4398798421380957,0.7237479063813932,True,True,2.4,2.4,True,2.8,2.0,2.2,2.0,1.0,3.0,1.8,4.0,3.0,4.0,4.0,2.0,3.0,True,2.6,2.0,3.0,True,0.6,54.0
3.8,2.0,5.0,4.0,2.2,65.3656857551795,True,1.0,2.0751297742547417,4.306163579998535,-0.25939424697656716,1.0380351465606519,-0.012775977878379894,-0.0510890588648621,-0.1666939773196944,0.7851288512236188,True,True,2.4,2.0,True,2.4,2.4,2.2,2.2,1.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,3.2,True,2.6,1.0,2.0,True,0.6,50.0
1.0,1.6,2.0,1.0,2.0,42.69985603333333,True,1.0,-1.4494697114594983,2.100962444438481,-0.2705643854425809,1.037845243696941,-0.05980603884247799,0.10524401473824674,-1.5795345037228694,0.8584075301025057,True,True,3.0,2.0,False,2.0,2.0,2.0,3.0,2.0,2.4,0.0,2.0,1.6,3.0,82.6,2.0,3.0,False,17.0,2.0,3.0,True,1.0,29.0
4.0,2.0,4.4,3.2,2.0,60.88025472377022,True,1.0,0.3862536412882131,0.1491918754084036,-0.34123150802046975,1.0366864374920126,0.1612281411535787,0.5218087060050414,-1.5355636023793784,0.8568885710459182,True,True,2.0,2.0,False,2.0,2.0,2.0,2.4,1.0,2.8,2.0,3.0,2.0,3.0,1.4,3.0,3.0,False,5.0,3.0,2.0,True,1.0,53.0
5.0,1.0,3.0,0.0,2.4,70.0,False,1.0,1.3383417039728487,1.7911585165929482,0.8796816490734259,1.077892781559277,1.2305072702430944,-0.16703280303518592,0.040934441972308167,0.767441475980206,False,True,0.0,2.4,True,1.0,0.0,0.0,2.2,6.0,3.0,2.0,4.0,2.6,3.0,1.2,2.4,3.0,True,1.2,2.0,2.2,True,1.2,61.0
2.0,3.0,3.0,2.0,2.0,43.047147066336045,True,1.0,-1.0292088521964748,1.0592708614395852,0.20240546165115147,1.0479909019583344,0.24933392241991376,-0.014841420223118247,-0.6220616081474966,0.8158464086327916,True,True,2.0,2.0,False,2.0,2.0,2.0,2.0,4.0,1.6,1.0,4.0,2.0,3.0,280.2,3.0,2.0,False,20.0,2.0,3.0,True,3.0,48.0
2.8,2.2,3.4,2.8,2.0,19.2959777989,False,1.0,0.18777430583006546,0.03525918992996296,1.0822653756932081,1.0957350108690174,0.7902488585722992,3.6206973924136707,0.1943911955816175,0.7523762079515879,False,True,2.0,2.0,True,1.6,2.0,2.2,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.6,True,17.6,2.2,2.0,True,1.6,37.0
1.0,1.0,5.0,4.0,3.0,37.90797540391193,True,1.0,-0.7737624286119774,0.5987082959315054,0.16994865931006414,1.047123973806784,-0.20403819248357974,-0.18507279845365887,-0.970272392378486,0.8339937524265411,True,False,1.0,2.0,False,2.0,2.0,3.0,3.0,1.0,1.6,1.0,2.0,2.0,2.0,105.2,2.0,3.0,False,14.0,2.0,1.0,True,0.0,44.0
2.2,1.0,3.0,3.0,2.2,54.8998149,False,1.0,0.990928286573771,0.9819388691320295,0.1256876239734845,1.0459910177848908,-0.01179415410569595,-0.09987411175563536,0.2230666053275268,0.7493419684999882,False,True,2.4,2.2,True,2.2,2.4,2.0,2.6,3.0,2.0,1.2,3.0,1.0,3.0,2.0,1.0,3.0,True,5.0,1.0,1.0,True,0.0,52.0
2.8,2.0,3.0,4.0,2.4,48.50886606332494,True,1.0,0.5380213844758188,0.28946701015327686,0.026159888097796014,1.0436321669191302,-0.00916930970823282,0.06116702864531139,-0.2551774514952446,0.7918746213349621,True,True,2.6,2.6,True,2.4,2.2,2.4,2.4,1.0,1.4,1.4,4.0,1.0,2.0,102.4,2.0,3.0,True,10.6,1.0,2.0,True,0.6,52.0
3.0,3.0,2.6,4.0,2.6,70.0,True,1.0,0.4708264024944792,0.22167750128589334,-1.1151896734629414,1.0274732545574254,-0.8649429383667238,0.9182829849797555,0.9153853492834806,0.6440335791891912,True,True,2.8,2.8,True,2.4,2.6,2.4,2.8,5.0,3.0,1.0,4.0,3.0,4.0,3.8,3.0,3.4,True,11.0,2.8,2.4,True,0.0,63.0
1.0,3.0,3.0,3.0,2.0,58.2489908069859,True,1.0,-0.3429349067830315,0.11760435029028651,-0.4115548571259765,1.0356016327880975,-0.049188489558985256,0.18390322387077096,-1.1748705324081015,0.8430797245445987,True,True,2.0,2.0,False,2.0,3.0,2.0,2.0,0.0,2.2,2.0,3.0,3.0,2.0,131.6,2.0,3.0,False,11.0,3.0,3.0,True,1.0,52.0
2.0,3.0,3.0,3.0,3.0,50.320902751723075,True,1.0,-0.7055286795929864,0.49777071772822284,-0.29292899455354965,1.0374706671338276,-0.02706509578820149,0.07159634080946861,-0.4264055182596662,0.8037946438848695,True,True,3.0,3.0,False,2.0,2.0,2.0,3.0,3.0,2.2,0.0,4.0,2.0,1.0,203.4,3.0,3.0,False,17.0,3.0,3.0,True,1.0,55.0
5.0,3.0,5.0,3.2,2.0,64.57072059950407,True,1.0,1.7379144842282797,3.0203467544904474,-0.6946042498306643,1.0318150978836753,-0.2870282199278111,-0.6455051792409766,-0.6415461156294913,0.8169660207005367,True,True,2.0,2.0,True,2.4,3.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.4,3.0,4.0,True,1.6,3.0,2.0,True,0.6,51.0
5.0,3.0,5.0,3.0,2.0,70.0,True,1.0,0.9361413782122664,0.8763606800011616,-0.9736215612058119,1.0287960255366886,-0.765458154791686,0.7642567280344563,0.36232431468889276,0.7334823370015848,True,True,2.0,2.0,True,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,True,4.6,3.0,3.0,True,0.6,55.0
5.0,3.0,5.0,3.0,3.0,70.0,True,1.0,0.16657764918176607,0.027748113206923528,-1.6014629087741277,1.0237291407143332,0.08914984944863848,0.3764184204827649,0.3132330706041541,0.7392972323129424,True,True,3.0,3.0,True,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.4,3.0,4.0,True,8.0,3.0,3.0,True,1.0,61.0
3.0,3.0,3.0,2.2,2.2,15.749794481158368,True,1.0,-1.201099059340419,1.4426389503484391,-0.770316151607342,1.0309350135572939,-0.7125849658706198,-0.30575171649501964,0.5680401156089341,0.7060032429100469,True,True,2.4,2.6,True,2.6,2.6,2.4,2.8,3.0,2.4,1.0,2.0,3.0,2.0,159.4,3.0,3.0,True,19.0,3.0,3.0,True,2.0,42.0
2.0,2.0,4.0,4.0,2.0,50.29607327910001,True,1.0,0.605133751684915,0.3661868574282604,-0.1488333267146057,1.0400229449651477,0.10987971144755705,0.07061118822580188,-1.4127469102108954,0.8524679392085134,True,True,2.0,2.0,False,1.8,1.0,1.0,1.0,3.8,2.6,2.0,4.0,2.0,4.0,2.0,2.0,2.0,False,4.8,2.0,2.0,True,0.8,53.0
4.0,3.0,5.0,4.0,3.0,18.51109074221706,True,1.0,-0.2346023037660114,0.05503824093231989,-0.6493690860619827,1.0323652270179173,-0.5252742497083457,0.2447758412785188,1.1575714140911777,0.5827042246080195,True,True,2.0,3.0,True,2.0,2.0,2.0,2.0,4.0,1.8,1.0,4.0,2.0,0.0,17.0,2.0,3.0,True,14.0,3.0,1.0,True,2.0,48.0
0.0,1.0,2.0,0.0,3.0,63.68964253068771,True,1.0,-0.4698347468641325,0.22074468936088348,0.08994367140876722,1.0451150787656864,-0.23252004534504417,-0.03605256245924042,1.300649079479753,0.5354168125920962,True,False,3.0,2.0,True,2.0,2.0,2.0,2.0,1.0,3.4,2.0,3.0,1.0,3.0,5.6,2.0,3.0,True,13.0,2.0,3.0,False,1.0,62.0
3.0,2.0,3.0,2.6,2.0,44.54941867527653,True,1.0,0.04149184142387602,0.001721572904744074,-0.17836218180583097,1.0394719835838189,0.13973893560439196,0.08622307640245234,0.6629578164929266,0.6913184918950158,True,False,2.0,2.8,True,3.0,1.0,2.0,2.0,4.0,2.6,1.0,3.0,2.0,2.0,119.6,2.0,2.0,True,11.0,2.0,2.0,True,1.0,48.0
3.0,1.0,2.0,2.8,2.0,31.515979455133326,True,1.0,0.07389398700750162,0.005460321315864818,-0.5914559543731245,1.0330979388662864,-0.5445264894656979,-0.1973986423545412,0.4164234078246026,0.7267662462814476,True,True,3.0,2.0,True,2.0,3.0,2.0,1.0,7.0,1.6,1.0,4.0,1.8,2.0,108.4,3.0,2.0,True,11.0,2.0,2.4,True,0.0,48.0
4.2,2.2,5.0,3.2,2.0,68.35262186007694,False,1.0,1.934622987720451,3.7427661046164045,0.18800497999629834,1.0476023572958926,0.08416027032589686,-0.0832778311031524,-0.30304000326868963,0.7953499742871387,True,True,2.4,2.4,True,2.4,2.2,2.0,2.6,0.0,3.0,1.0,2.0,2.4,3.0,3.0,2.2,2.6,True,2.0,2.2,2.0,True,1.0,54.0
2.0,1.0,1.0,2.6,1.0,36.89395735435206,False,1.0,-0.49781664182373625,0.2478214088766621,1.4135956271727503,1.1530866337008079,2.558093015703722,-0.09789243304243647,-1.169333350513841,0.8428469385103623,False,True,2.0,2.0,False,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,108.8,1.0,2.0,False,15.0,2.0,1.0,True,1.0,30.0
5.0,2.0,3.2,4.0,2.0,47.701404191713266,True,1.0,1.6361401931519033,2.6769547316471476,-0.23889247249026915,1.0383887011849215,0.15228726170634266,-0.6093260856276403,-0.8805298936745771,0.8296677608474403,True,True,3.0,2.0,True,3.0,2.2,2.2,2.0,1.2,3.2,2.0,4.0,3.0,4.0,4.0,2.0,3.0,True,3.8,2.0,1.8,True,0.8,60.0
