Report for Annual Survey 2019 - Aggregate|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16
National Guard |0.062|88||||||||||||||
Retired |0.252|357||||||||||||||
Medically Discharged |0.063|89||||||||||||||
Discharged |0.45|637||||||||||||||
 |Totals |1,416 ||||||||||||||
||||||||||||||||
||||||||||||||||
7.Discharge status ||||||||||||||||
Value |Percent |Count ||||||||||||||
Honorable |0.924|671||||||||||||||
General |0.061|44||||||||||||||
Other than Honorable |0.011|8||||||||||||||
Bad Conduct |0.004|3||||||||||||||
 |Totals |726||||||||||||||
||||||||||||||||
||||||||||||||||
8.What year did you begin your time in the service? (Ex: 1985)||||||||||||||||
||||||||||||||||
||||||||||||||||
9.What year did your status become retired/discharged? (Ex: 2006)||||||||||||||||
||||||||||||||||
||||||||||||||||
10.Please read the following statements and indicate which answer best describes your current status: Seeking - Defined as you seeking information or resources (Select all that apply to you) ||||||||||||||||
 |Seeking | |Not Seeking | ||||||||||||
 |Count |Count | | ||||||||||||
Access to education benefits (e.g., Montgomery, Post-9/11, GI Bill) - for my family  or myself |405|1,158 | | ||||||||||||
Access to legal assistance |283|1,280 | | ||||||||||||
Access to obtaining employment |430|1,133 | | ||||||||||||
Access to better employment conditions (with better pay, benefits, etc.) |501|1,062 | | ||||||||||||
Access to new housing |348|1,215 | | ||||||||||||
Access to better housing conditions (safer, more secure) |279|1,284 | | ||||||||||||
Better access to transportation |182|1,381 | | ||||||||||||
Greater opportunities for me to connect with other military/veteran service members and families/caregivers |728|835| | ||||||||||||
Greater opportunities for recreational or other physical activities |768|795| | ||||||||||||
Help enrolling in school (e.g., an education program/vocational program) |297|1,266 | | ||||||||||||
Access to health and benefits (VA or non-VA) (e.g., Enrollment) |510|1,053 | | ||||||||||||
Physical health treatment and/or resources and support (e.g., Better access to scheduled appointments) |367|1,196 | | ||||||||||||
Resources/classes on financial counseling (e.g., how to maintain strong finances) |374|1,189 | | ||||||||||||
Short-term financial assistance (e.g., to address utility bills, etc.) |323|1,240 | | ||||||||||||
Spirituality resources and support |224|1,339 | | ||||||||||||
Mental health treatment and/or resources and support |315|1,248 | | ||||||||||||
Support to stay in school (e.g., remain on track to graduate) |164|1,399 | | ||||||||||||
Filing a VA Claim |395|1,168 | | ||||||||||||
Volunteer opportunity  |540|1,023 | | ||||||||||||
||||||||||||||||
||||||||||||||||
11.Seeking - Defined as you seeking information or resources (Select all that apply to you) ||||||||||||||||
 |Seeking | |Not Seeking | ||||||||||||
 |Count |Count | | ||||||||||||
Opportunities to participate in adaptive sports/disabled veteran programs |180|757| | ||||||||||||
Engagement with marriage/family programs |250|623| | ||||||||||||
Participation in recreational therapy programs |0|490| | ||||||||||||
||||||||||||||||
||||||||||||||||
12.Please read each statement carefully.  Using the scale shown below, please rate each statement by how you are feeling.Note: This survey question is taken from a national survey tool (the Fetzer Institute Adult Hope Scale).  We are using their standard answer options to help us consistently measure Warrior status across the country.||||||||||||||||
 |Definitely False | |Mostly False | |Somewhat False | |Slightly False | |Slightly True | |Somewhat True | |Mostly True | |Definitely True | 
 |Count |Count |Count |Count |Count |Count |Count |Count | | | | | | | | 
I can think of many ways to get out of a jam |39|39|48|32|133|259|570|502| | | | | | | | 
I energetically pursue my goals |33|32|51|34|166|289|571|446| | | | | | | | 
I feel tired most of the time |185|245|98|93|292|271|252|186| | | | | | | | 
There are lots of ways around any problem |32|28|44|56|190|282|541|449| | | | | | | | 
I am easily downed in an argument |383|517|193|177|138|113|66|35| | | | | | | | 
I can think of many ways to get the things in life that are important to me |29|45|48|63|206|318|523|390| | | | | | | | 
I worry about my health |147|206|85|82|345|289|236|232| | | | | | | | 
Even when others get discouraged, I know I can find a way to solve the problem |21|27|37|41|240|368|570|318| | | | | | | | 
My past experiences have prepared me well for my future |28|43|36|37|180|256|485|557| | | | | | | | 
I've been pretty successful in life |48|52|60|59|216|301|522|364| | | | | | | | 
I usually find myself worrying about something |117|217|99|113|316|293|262|205| | | | | | | | 
I meet the goals that I set for myself |43|53|68|100|234|388|570|166| | | | | | | | 
||||||||||||||||
||||||||||||||||
13.Hope Scale Score||||||||||||||||
Value |Percent |Count ||||||||||||||
8|0.001|1||||||||||||||
10|0.001|1||||||||||||||
11|0.001|2||||||||||||||
12|0.002|4||||||||||||||
14|0.001|1||||||||||||||
15|0.001|2||||||||||||||
17|0.005|8||||||||||||||
18|0.001|2||||||||||||||
19|0.003|5||||||||||||||
20|0.002|3||||||||||||||
21|0.002|3||||||||||||||
22|0.001|1||||||||||||||
23|0.002|3||||||||||||||
24|0.002|3||||||||||||||
25|0.003|5||||||||||||||
26|0.006|9||||||||||||||
27|0.002|4||||||||||||||
28|0.002|4||||||||||||||
29|0.007|11||||||||||||||
30|0.004|7||||||||||||||
31|0.006|10||||||||||||||
32|0.007|12||||||||||||||
33|0.007|11||||||||||||||
34|0.006|9||||||||||||||
35|0.01|16||||||||||||||
36|0.009|15||||||||||||||
37|0.011|18||||||||||||||
38|0.01|17||||||||||||||
39|0.009|15||||||||||||||
40|0.018|30||||||||||||||
41|0.015|24||||||||||||||
42|0.023|37||||||||||||||
43|0.02|32||||||||||||||
44|0.025|41||||||||||||||
45|0.018|29||||||||||||||
46|0.025|40||||||||||||||
47|0.023|38||||||||||||||
48|0.031|50||||||||||||||
49|0.031|50||||||||||||||
50|0.041|66||||||||||||||
51|0.035|57||||||||||||||
52|0.031|51||||||||||||||
53|0.052|84||||||||||||||
54|0.059|95||||||||||||||
55|0.044|72||||||||||||||
56|0.074|120||||||||||||||
57|0.047|77||||||||||||||
58|0.044|71||||||||||||||
59|0.046|74||||||||||||||
60|0.035|57||||||||||||||
61|0.031|50||||||||||||||
62|0.034|55||||||||||||||
63|0.025|40||||||||||||||
64|0.049|80||||||||||||||
||||||||||||||||
||||||||||||||||
14.Employment status:||||||||||||||||
Value |Percent |Count ||||||||||||||
Full-time |0.486|789||||||||||||||
Part-time |0.091|147||||||||||||||
Unemployed |0.096|156||||||||||||||
Retired |0.152|246||||||||||||||
Full-time student |0.047|76||||||||||||||
Unable to work due to injury or illness |0.117|190||||||||||||||
Able to work but choose not to work |0.011|18||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
15.Education status: What is the highest degree or level of school you have completed?||||||||||||||||
Value |Percent |Count ||||||||||||||
Regular high school diploma or GED |0.219|355||||||||||||||
Business, technical or vocational school training leading to a certificate or diploma |0.12|195||||||||||||||
Associate's degree |0.166|269||||||||||||||
Bachelor's degree |0.286|464||||||||||||||
Master's degree |0.163|264||||||||||||||
Professional or doctorate degree beyond a bachelor's degree |0.036|59||||||||||||||
None of the above |0.01|16||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
16.Are you currently pursuing any of the following degrees or certifications?||||||||||||||||
Value |Percent |Count ||||||||||||||
Regular high school diploma or GED |0.006|10||||||||||||||
Business, technical or vocational school training leading to a certificate or diploma |0.044|71||||||||||||||
Associate's degree |0.047|77||||||||||||||
Bachelor's degree |0.069|112||||||||||||||
Master's degree |0.054|87||||||||||||||
Professional or doctorate degree beyond a bachelor's degree |0.023|38||||||||||||||
Not currently pursuing any higher education |0.756|1,227 ||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
17.Where are you currently enrolled? ||||||||||||||||
||||||||||||||||
||||||||||||||||
18.What is your degree/certification field of study? ||||||||||||||||
||||||||||||||||
||||||||||||||||
19.Housing status ||||||||||||||||
Value |Percent |Count ||||||||||||||
Own |0.573|896||||||||||||||
Rent |0.277|433||||||||||||||
Living with family or friends |0.077|120||||||||||||||
Temporary or transitional housing |0.011|17||||||||||||||
Participating in a VA Housing Program (e.g., HUD VASH, SSVF) |0.027|42||||||||||||||
At risk of becoming homeless |0.023|36||||||||||||||
Homeless |0.012|19||||||||||||||
 |Totals |1,563 ||||||||||||||
||||||||||||||||
||||||||||||||||
20.Do you have health insurance coverage?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.87|1,354 ||||||||||||||
No |0.13|203||||||||||||||
 |Totals |1,557 ||||||||||||||
||||||||||||||||
||||||||||||||||
21.What type of health insurance coverage do you currently have for yourself?  Please check all that apply.||||||||||||||||
Value |Percent |Count ||||||||||||||
Private health insurance, HMO, PPO (e.g., employer-sponsored health plan) |0.397|538||||||||||||||
Medicare |0.222|301||||||||||||||
Medicaid |0.049|66||||||||||||||
Veterans Affairs (VA) |0.531|719||||||||||||||
Other government health plan (includes TRICARE or CHAMPUS or ChampVA) |0.303|410||||||||||||||
Other -Please describe |0.033|45||||||||||||||
||||||||||||||||
||||||||||||||||
22.Do you receive VA disability?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.529|824||||||||||||||
No |0.471|733||||||||||||||
 |Totals |1,557 ||||||||||||||
||||||||||||||||
||||||||||||||||
23.Do you have a VA disability claim pending? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.189|295||||||||||||||
No |0.811|1,262 ||||||||||||||
 |Totals |1,557 ||||||||||||||
||||||||||||||||
||||||||||||||||
24.What is your primary mode of transportation?||||||||||||||||
Value |Percent |Count ||||||||||||||
Privately Owned Vehicle |0.898|1,457 ||||||||||||||
Shared Transportation |0.029|47||||||||||||||
Bicycle/Walk |0.016|26||||||||||||||
Taxi |0.002|3||||||||||||||
Uber/Lyft |0.008|13||||||||||||||
Low Fare Public Transit |0.027|44||||||||||||||
Free Fare Public Transit |0.006|9||||||||||||||
Prefer not to respond |0.014|23||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
25.Do you consider this a reliable mode of transportation for your lifestyle?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.906|1,449 ||||||||||||||
No |0.094|150||||||||||||||
 |Totals |1,599 ||||||||||||||
||||||||||||||||
||||||||||||||||
26.Currently, how truthful is each of the next two statements in describing you:||||||||||||||||
 |Not at all true | |Rarely true | |Sometimes true | |Often true | |True nearly all of the time | ||||||
 |Count |Count |Count |Count |Count | | | | | ||||||
I am able to adapt when changes occur |17|55|322|535|693| | | | | ||||||
I tend to bounce back after illness, injury, or other hardships |22|60|323|521|696| | | | | ||||||
||||||||||||||||
||||||||||||||||
27.Please check all that apply to indicate if you participate in your community in any of the following ways:||||||||||||||||
Value |Percent |Count ||||||||||||||
I regularly participate in community events |0.406|658||||||||||||||
I regularly help organize community events |0.18|292||||||||||||||
I'm not currently an active participant in community events |0.564|914||||||||||||||
||||||||||||||||
||||||||||||||||
28.To what extent do you agree or disagree with the following statements:||||||||||||||||
 |Strongly Disagree | |Disagree | |Agree | |Strongly Agree | |Not Applicable | ||||||
 |Count |Count |Count |Count |Count | | | | | ||||||
My community is invested in active military/veterans |104|329|669|395|125| | | | | ||||||
Active military members/veterans can thrive in my community |71|210|766|450|125| | | | | ||||||
There are opportunities for active military members/veterans in my community |82|253|760|402|125| | | | | ||||||
There is a strong network of support for active military/veterans in my community |95|355|670|380|122| | | | | ||||||
Organizations in my community provide active military/veterans with the services they need |100|307|719|353|143| | | | | ||||||
There are people I can depend on to help me if I really need it |89|184|638|649|62| | | | | ||||||
There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers |84|326|628|286|298| | | | | ||||||
I have the resources I need for my care |82|190|753|499|98| | | | | ||||||
||||||||||||||||
||||||||||||||||
29.To what extent do you agree or disagree with the following statements regarding <Community>?||||||||||||||||
 |Strongly Disagree | |Disagree | |Agree | |Strongly Agree | |Not Applicable | ||||||
 |Count |Count |Count |Count |Count | | | | | ||||||
Is highly responsive |26|79|380|480|100| | | | | ||||||
Cares deeply about my well being |22|86|402|427|128| | | | | ||||||
Has improved my community's understanding of active military/veterans issues |23|97|365|373|207| | | | | ||||||
Has connected me to other veterans |36|174|284|288|283| | | | | ||||||
Has connected my family/caregiver to other active military/veteran family members or their caregivers |44|168|170|126|557| | | | | ||||||
Has helped me feel more connected to my community |44|176|296|199|350| | | | | ||||||
Has helped me navigate complex bureaucracies |55|159|175|144|532| | | | | ||||||
Has helped me find a better job that can support me/my family  |56|168|103|92|646| | | | | ||||||
Has helped me stay in my current job |35|121|75|67|767| | | | | ||||||
Has helped me become healthier overall |44|150|197|69|605| | | | | ||||||
Has helped me improve my level of physical fitness |54|178|105|49|679| | | | | ||||||
Has helped me improve my eating habits |56|172|92|34|711| | | | | ||||||
Has reduced my level of daily stress |57|169|189|76|574| | | | | ||||||
Has helped me feel more fulfilled in my daily life |45|155|221|104|540| | | | | ||||||
Has empowered me |48|141|265|135|476| | | | | ||||||
Has helped me improve my financial habits |64|158|116|56|671| | | | | ||||||
||||||||||||||||
||||||||||||||||
30.What is your zip code?||||||||||||||||
||||||||||||||||
||||||||||||||||
31.How did you first hear about <Community>?||||||||||||||||
Value |Percent |Count ||||||||||||||
I was approached by a staff member/volunteer |0.285|304||||||||||||||
I was referred by someone |0.432|460||||||||||||||
I saw a public advertisement or notice |0.283|301||||||||||||||
 |Totals |1,065 ||||||||||||||
||||||||||||||||
||||||||||||||||
32.Who referred you?||||||||||||||||
Value |Percent |Count ||||||||||||||
A veteran/active military member |0.415|191||||||||||||||
A family member, caregiver or friend |0.141|65||||||||||||||
A representative from another organization |0.443|204||||||||||||||
 |Totals |460||||||||||||||
||||||||||||||||
||||||||||||||||
33.Which organization referred you? ||||||||||||||||
||||||||||||||||
||||||||||||||||
34.Where did <Community>  first engage you?||||||||||||||||
Value |Percent |Count ||||||||||||||
At an event |0.319|340||||||||||||||
At the Veteran's Affairs (VA) hospital/office |0.104|111||||||||||||||
At an educational institution |0.048|51||||||||||||||
In another public or private location - please describe |0.19|202||||||||||||||
Walk-In |0.339|361||||||||||||||
 |Totals |1,065 ||||||||||||||
||||||||||||||||
||||||||||||||||
35.At what educational institute did they engage you? ||||||||||||||||
||||||||||||||||
||||||||||||||||
36.To date, <Community> provided me with information or resources in the following ways.  Please check all that apply.||||||||||||||||
Value |Percent |Count ||||||||||||||
I have engaged with them regarding volunteer opportunities. |0.232|241||||||||||||||
I have engaged with them regarding recreational opportunities. |0.214|223||||||||||||||
They connected me with other military/veteran service members or their family/caregiver. |0.188|196||||||||||||||
I have engaged with their staff/volunteers about obstacles and challenges I'm facing (e.g., benefits, enrollment, resume assistance, education enrollment, support groups). |0.403|420||||||||||||||
None of the Above |0.349|363||||||||||||||
||||||||||||||||
||||||||||||||||
37.Do staff members at <Community> still communicate with you to include in-person meetings, newsletters, emails, phone calls, or social media campaigns? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.7|729||||||||||||||
No |0.3|312||||||||||||||
 |Totals |1,041 ||||||||||||||
||||||||||||||||
||||||||||||||||
38.About how long have you been receiving information or resources from <Community>?||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than 1 month |0.126|92||||||||||||||
1-3 months |0.119|87||||||||||||||
3-6 months |0.1|73||||||||||||||
6-12 months |0.151|110||||||||||||||
1-2 years |0.243|177||||||||||||||
Over 2 years |0.261|190||||||||||||||
 |Totals |729||||||||||||||
||||||||||||||||
||||||||||||||||
39.On average, how often do you speak with/communicate with or receive information from <Community> staff?||||||||||||||||
Value |Percent |Count ||||||||||||||
A few times a year |0.401|292||||||||||||||
Once a month |0.244|178||||||||||||||
A few times a month |0.217|158||||||||||||||
Once a week |0.08|58||||||||||||||
More than once a week |0.059|43||||||||||||||
 |Totals |729||||||||||||||
||||||||||||||||
||||||||||||||||
40.Which best describes your relationship with <Community>?||||||||||||||||
Value |Percent |Count ||||||||||||||
I am currently receiving support |0.159|166||||||||||||||
I received the support I need |0.273|284||||||||||||||
I have not requested support |0.568|591||||||||||||||
 |Totals |1,041 ||||||||||||||
||||||||||||||||
||||||||||||||||
41.Which best describes your relationship with <Community>?||||||||||||||||
Value |Percent |Count ||||||||||||||
I receive newsletters or follow them on social media |0.695|740||||||||||||||
I have never received their newsletter nor followed them on social media |0.261|278||||||||||||||
I unsubscribed from their newsletter and social media |0.044|47||||||||||||||
 |Totals |1,065 ||||||||||||||
||||||||||||||||
||||||||||||||||
42.Which best describes your relationship with <Community>? (Select all that apply)||||||||||||||||
Value |Percent |Count ||||||||||||||
I have donated to them |0.139|148||||||||||||||
I have volunteered with them |0.178|190||||||||||||||
I have participated in their events |0.443|472||||||||||||||
None of the above |0.489|521||||||||||||||
||||||||||||||||
||||||||||||||||
43.Overall, how satisfied are you with <Community>'s ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.||||||||||||||||
Value |Percent |Count ||||||||||||||
Extremely Dissatisfied |0.028|19||||||||||||||
Dissatisfied |0.043|29||||||||||||||
Neutral |0.165|112||||||||||||||
Satisfied |0.363|246||||||||||||||
Extremely Satisfied |0.401|272||||||||||||||
 |Totals |678||||||||||||||
||||||||||||||||
||||||||||||||||
44.How likely is it that you would recommend <Community> to a veteran or friend? Please use the scale below to indicate your likelihood to recommend <Community>.  ||||||||||||||||
Value |Percent |Count ||||||||||||||
Extremely Unlikely |0.027|18||||||||||||||
Unlikely |0.022|15||||||||||||||
Neutral |0.069|47||||||||||||||
Likely |0.288|195||||||||||||||
Extremely Likely |0.594|403||||||||||||||
 |Totals |678||||||||||||||
||||||||||||||||
||||||||||||||||
45.Which of the following could be used to identify your current status? (Check all that apply)||||||||||||||||
Value |Percent |Count ||||||||||||||
Homeless |0.032|51||||||||||||||
Unemployed |0.166|269||||||||||||||
Part-time Employee |0.101|163||||||||||||||
Full-time Hourly Employee |0.189|305||||||||||||||
Full-time Salary Employee |0.221|357||||||||||||||
Student (e.g., In Training/Education) |0.136|220||||||||||||||
Fully Disabled |0.127|206||||||||||||||
Military/Veteran Family Member |0.155|250||||||||||||||
Military/Veteran Caregiver |0.036|59||||||||||||||
Active Duty Military |0.043|70||||||||||||||
Veteran |0.763|1,234 ||||||||||||||
Permanently Retired |0.163|264||||||||||||||
Business Executive |0.04|64||||||||||||||
Business Owner |0.078|126||||||||||||||
Political Leader |0.01|16||||||||||||||
Community Volunteer |0.216|350||||||||||||||
Community Leader |0.093|150||||||||||||||
Philanthropist |0.026|42||||||||||||||
||||||||||||||||
||||||||||||||||
46.Attestation||||||||||||||||
Value |Percent |Count ||||||||||||||
By clicking here, you are agreeing that the information you provided in this survey is valid and true to your identity.  Also you are agreeing that this information has only been completed once. |1|1,568 ||||||||||||||
||||||||||||||||
||||||||||||||||
47.Where are you currently employed?||||||||||||||||
||||||||||||||||
||||||||||||||||
48.How long have you been at your current job?||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than 3 months |0.119|44||||||||||||||
3 - 6 months |0.186|69||||||||||||||
6 - 12 months |0.162|60||||||||||||||
1 - 3 years |0.368|136||||||||||||||
3 - 5 years |0.054|20||||||||||||||
5 - 10 years |0.046|17||||||||||||||
Over 10 years |0.065|24||||||||||||||
 |Totals |370||||||||||||||
||||||||||||||||
||||||||||||||||
49.Do you consider your current job a career?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.703|407||||||||||||||
No |0.297|172||||||||||||||
 |Totals |579||||||||||||||
||||||||||||||||
||||||||||||||||
50.Is this a civilian job?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.914|32||||||||||||||
No |0.086|3||||||||||||||
 |Totals |35||||||||||||||
||||||||||||||||
||||||||||||||||
51.Do you feel that your employer has taken full advantage of your military leadership, training, and experience?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.375|12||||||||||||||
No |0.5|16||||||||||||||
Prefer not to answer |0.125|4||||||||||||||
 |Totals |32||||||||||||||
||||||||||||||||
||||||||||||||||
52.Do you feel that your employer supports you as a veteran employee?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.656|21||||||||||||||
No |0.281|9||||||||||||||
Prefer not to answer |0.063|2||||||||||||||
 |Totals |32||||||||||||||
||||||||||||||||
||||||||||||||||
53.What is most important to you as it pertains to your job? Please rank the items below 1-9 with 1 being MOST important to you and 9 being LEAST important to you.||||||||||||||||
||||||||||||||||
||||||||||||||||
54.Are you actively seeking employment?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.28|277||||||||||||||
No |0.72|712||||||||||||||
 |Totals |989||||||||||||||
||||||||||||||||
||||||||||||||||
55.How long have you been actively seeking employment?||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than 5 weeks |0.408|75||||||||||||||
5 - 14 weeks |0.326|60||||||||||||||
15 - 26 weeks |0.207|38||||||||||||||
27 weeks and over |0.06|11||||||||||||||
 |Totals |184||||||||||||||
||||||||||||||||
||||||||||||||||
56.Did <Community> or a community partner help you secure your current job?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.115|42||||||||||||||
No |0.885|322||||||||||||||
 |Totals |364||||||||||||||
||||||||||||||||
||||||||||||||||
57.Including yourself, how many people do you support and consider to be part of your household?||||||||||||||||
Value |Percent |Count ||||||||||||||
1 - Just me |0.201|227||||||||||||||
2|0.321|362||||||||||||||
3|0.17|192||||||||||||||
4|0.161|181||||||||||||||
5|0.077|87||||||||||||||
6|0.037|42||||||||||||||
Over 6 |0.032|36||||||||||||||
 |Totals |1,127 ||||||||||||||
||||||||||||||||
||||||||||||||||
58.Approximately how much was your household annual income for the previous year? ||||||||||||||||
Value |Percent |Count ||||||||||||||
$0 (none) |0.006|5||||||||||||||
$1-$25,000 |0.095|85||||||||||||||
$25,000-$40,000 |0.118|106||||||||||||||
$40,000-$55,000 |0.13|117||||||||||||||
$55,000-$70,000 |0.146|131||||||||||||||
$70,000 or above |0.365|328||||||||||||||
Don't know or prefer not to respond |0.14|126||||||||||||||
 |Totals |898||||||||||||||
||||||||||||||||
||||||||||||||||
59.Individual annual income:||||||||||||||||
Value |Percent |Count ||||||||||||||
$0 (none) |0.035|39||||||||||||||
$1-$25,000 |0.201|226||||||||||||||
$25,000-$40,000 |0.182|205||||||||||||||
$40,000-$55,000 |0.161|181||||||||||||||
$55,000-$70,000 |0.125|141||||||||||||||
$70,000 or above |0.178|200||||||||||||||
Don't know or prefer not to respond |0.117|132||||||||||||||
 |Totals |1,124 ||||||||||||||
||||||||||||||||
||||||||||||||||
60.Have you ever used education benefits from the VA to pursue a degree or certification? (e.g., Montgomery, Post-9/11, GI Bill)||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.643|574||||||||||||||
No |0.34|304||||||||||||||
I don't know/unsure |0.017|15||||||||||||||
 |Totals |893||||||||||||||
||||||||||||||||
||||||||||||||||
"61.At educational institutions/programs that you are currently enrolled in, have you had more than one ""withdrawal"" or ""incomplete"" course per semester or academic/course/training term?"||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.153|43||||||||||||||
No |0.797|224||||||||||||||
Don't Know |0.05|14||||||||||||||
 |Totals |281||||||||||||||
||||||||||||||||
||||||||||||||||
62.Did <Community> or an organization they referred you to, help you enroll in school/an educational program that you are attending or have attended? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes - helped me enroll at a school/in a program I am currently attending |0.011|8||||||||||||||
Yes - helped me enroll at a school/in a program I no longer attend |0.023|16||||||||||||||
Yes - helped me enroll at a school/in a program for a degree or certification I completed |0.033|23||||||||||||||
No- did not help me enroll in a school/in a program |0.933|656||||||||||||||
 |Totals |703||||||||||||||
||||||||||||||||
||||||||||||||||
63.What degree or level of school did you complete after <Community>/their Partner helped you enroll?||||||||||||||||
Value |Percent |Count ||||||||||||||
Business, technical or vocational school training leading to a certificate or diploma |0.304|7||||||||||||||
Associate's degree |0.304|7||||||||||||||
Bachelor's degree |0.348|8||||||||||||||
Master's degree |0.043|1||||||||||||||
 |Totals |23||||||||||||||
||||||||||||||||
||||||||||||||||
64.Where did you complete your degree or certificate at? ||||||||||||||||
||||||||||||||||
||||||||||||||||
65.Do you have a budget?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.699|782||||||||||||||
No |0.301|337||||||||||||||
 |Totals |1,119 ||||||||||||||
||||||||||||||||
||||||||||||||||
66.Do you regularly follow your budget?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.789|617||||||||||||||
No |0.211|165||||||||||||||
 |Totals |782||||||||||||||
||||||||||||||||
||||||||||||||||
67.Do you have any emergency savings?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.546|609||||||||||||||
No |0.454|506||||||||||||||
 |Totals |1,115 ||||||||||||||
||||||||||||||||
||||||||||||||||
68.Approximately how many months of expenses would your emergency savings cover?||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than 1 month of expenses |0.112|68||||||||||||||
1 - 3 months of expenses |0.38|231||||||||||||||
3 or more months of expenses |0.508|309||||||||||||||
 |Totals |608||||||||||||||
||||||||||||||||
||||||||||||||||
69.Do you know your credit score?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.785|874||||||||||||||
No |0.215|240||||||||||||||
 |Totals |1,114 ||||||||||||||
||||||||||||||||
||||||||||||||||
70.Approximately what is your credit score?||||||||||||||||
Value |Percent |Count ||||||||||||||
